,date,maximumTemp
0,11-96,19.548146302666666
1,12-96,13.795090377419355
2,01-97,12.86370228687097
3,02-97,15.93612354857143
4,03-97,21.292248382307694
5,04-97,26.312264972857143
6,05-97,29.756617284999997
7,06-97,31.741817986666657
8,07-97,31.22775999193549
9,08-97,29.61033418129033
10,09-97,29.69039411466667
11,10-97,24.012875733870967
12,11-97,20.048853200333333
13,12-97,12.89732462854839
14,01-98,13.179072988419353
15,02-98,16.487370268928572
16,03-98,19.60701010451613
17,04-98,29.170241705333336
18,05-98,34.25551795903225
19,06-98,32.949112832
20,07-98,30.217874077096774
21,08-98,29.52942601928571
22,09-98,29.48859629733333
23,10-98,25.13889703483871
24,11-98,19.973622093
25,12-98,14.161435204612902
26,01-99,12.188393864290322
27,02-99,16.54640473607143
28,03-99,22.466220249999996
29,04-99,31.05537036966667
30,05-99,34.61096899419355
31,06-99,34.26850249333334
32,07-99,32.04397500967743
33,08-99,32.90559136064516
34,09-99,30.79549353466666
35,10-99,27.61741426774193
36,11-99,22.597650025333337
37,12-99,15.155131087096775
38,01-00,13.769353940161292
39,02-00,14.996774325454549
40,04-00,35.0
41,05-00,26.0
42,06-00,32.297554814285725
43,07-00,30.27025286935484
44,08-00,31.741744410769236
45,09-00,30.178835870333344
46,10-00,28.204807437419355
47,11-00,22.135101795000004
48,12-00,16.13737100548387
49,01-01,12.5982924916129
50,02-01,18.312059094285722
51,03-01,23.48159335322581
52,04-01,29.852883336666665
53,05-01,32.97333879741935
54,06-01,31.008984976000008
55,07-01,30.96814264806451
56,08-01,31.147548162258058
57,09-01,31.198280475333334
58,10-01,27.685579179354843
59,11-01,21.478638582000006
60,12-01,15.834623959032259
61,01-02,14.073038590645165
62,02-02,17.41186123714286
63,03-02,24.484347583548388
64,04-02,32.02138622266666
65,05-02,35.436938041612905
66,06-02,34.245455486999994
67,07-02,35.41022249225807
68,08-02,30.674163068709678
69,09-02,28.33434087266666
70,10-02,27.1888007816129
71,11-02,21.33954771233333
72,12-02,16.82420274645161
73,01-03,11.66208158516129
74,02-03,17.8153354975
75,03-03,23.478983381935485
76,04-03,31.739674377000004
77,05-03,34.83520133580645
78,06-03,35.57487095133334
79,07-03,30.340691907419355
80,08-03,29.97442039193549
81,09-03,28.949728423333337
82,10-03,26.442550774516135
83,11-03,20.353052450666667
84,12-03,15.13065277651613
85,01-04,13.093057163032256
86,02-04,18.429449754482757
87,03-04,26.618093193548383
88,04-04,31.835351097999997
89,05-04,34.30365100806451
90,06-04,32.42031643200001
91,07-04,32.71716589870968
92,08-04,29.465227612580644
93,09-04,29.71445878666667
94,10-04,24.219086021612906
95,11-04,19.489285714333334
96,12-04,15.44335637451613
97,01-05,13.421082949354838
98,02-05,16.783801020357142
99,03-05,23.63959293354839
100,04-05,28.631547619
101,05-05,32.28974654387097
102,06-05,34.006547619
103,07-05,30.17204301064516
104,08-05,31.41532258064516
105,09-05,28.802976190333332
106,10-05,25.05241935483871
107,11-05,19.55714285733333
108,12-05,13.181541971612901
109,01-06,13.964093702225806
110,02-06,21.007993197500006
111,03-06,22.51996927806452
112,04-06,29.546230158666663
113,05-06,33.13709677419355
114,06-06,32.03273809533333
115,07-06,30.975806451612904
116,08-06,30.56605222774193
117,09-06,29.166269841333328
118,10-06,26.07546082967742
119,11-06,20.18670634933333
120,12-06,15.46178955451613
121,01-07,13.373847926129033
122,02-07,17.571428571785713
123,03-07,21.74289554548387
124,04-07,30.460714285666665
125,05-07,31.884408602258063
126,06-07,32.974404762
127,07-07,31.147465437741936
128,08-07,30.630184331612902
129,09-07,29.167261904666667
130,10-07,24.408730158666668
131,11-07,19.435912699000003
132,12-07,14.517857142903228
133,01-08,12.987327188709678
134,02-08,15.616871920931036
135,03-08,25.06970046096774
136,04-08,28.567579364999997
137,05-08,30.258064516129036
138,06-08,30.257142857
139,07-08,30.685675883548388
140,08-08,29.593894009354837
141,09-08,28.492857143
142,10-08,26.44412442387097
143,11-08,19.560515872666667
144,12-08,16.167050691290324
145,01-09,14.738863286774192
146,02-09,18.271683673571427
147,03-09,23.44239631322581
148,04-09,29.564285714333334
149,05-09,32.40783410129033
150,06-09,34.567857143
151,07-09,32.016705069354835
152,08-09,30.895737327419358
153,09-09,28.892738095000006
154,10-09,25.05990783419355
155,11-09,19.300000000333334
156,12-09,14.960445468709677
157,01-10,12.878456220967742
158,02-10,18.068877551071427
159,03-10,25.927611367419356
160,04-10,32.74186507966667
161,05-10,34.507488479032254
162,06-10,34.350595238000004
163,07-10,31.104646697741934
164,08-10,29.59485407064516
165,09-10,27.726388888666666
166,10-10,26.081259600645158
167,11-10,20.352182539666668
168,12-10,13.993087557419354
169,01-11,12.309907834290321
170,02-11,17.03996598642857
171,03-11,22.66478494677419
172,04-11,27.824880952
173,05-11,33.03648233516129
174,06-11,32.16129681933334
175,07-11,30.628725037741933
176,08-11,29.884715821290325
177,09-11,29.07297619033333
178,10-11,25.550192012258066
179,11-11,20.784722221666666
180,12-11,14.540322580709676
181,01-12,12.825614439387097
182,02-12,16.199178981379312
183,03-12,22.518740399032257
184,04-12,28.220436507666673
185,05-12,33.40956221225807
186,06-12,36.13079365066667
187,07-12,31.86367127516129
188,08-12,29.26566820225806
189,09-12,29.19507936533333
190,10-12,24.63187404032258
191,11-12,18.774722222999994
192,12-12,14.965898617322582
193,01-13,12.074769584548386
194,02-13,16.867559524642857
195,03-13,22.814208909354843
196,04-13,28.895119048000005
197,05-13,33.77676651290322
198,06-13,32.480873016
199,07-13,30.663594469677417
200,08-13,29.547772657741938
201,09-13,29.840595238333332
202,10-13,26.12918586806451
203,11-13,18.811706349
204,12-13,15.179339477419354
205,01-14,13.431835637419354
206,02-14,15.746811224642856
207,03-14,21.593317972258067
208,04-14,28.058333333333334
209,05-14,31.405529953870968
210,06-14,34.770833333333336
211,07-14,32.034163127419355
212,08-14,31.411968013225803
213,09-14,29.7625
214,10-14,26.49654377870968
215,11-14,20.104166666666668
216,12-14,14.823732719032257
217,01-15,12.70852534548387
218,02-15,18.791454081428572
219,03-15,21.54781106
220,04-15,28.002976190333335
221,05-15,33.352534562258064
222,06-15,32.7375
223,07-15,30.409562211935484
224,08-15,30.33078917064516
225,09-15,30.649999999666665
226,10-15,26.865207373225807
227,11-15,20.754166666666666
228,12-15,14.989285714333334
